document,stars
"The one good thing I can say about Michael's is that they have a wide variety of hobbies and crafts included in their selection. They've got items for woodwork, painting, knitting, kids crafts, scrapbooks, you name it. The problem is, the variety of products for your particular craft is probably dismal. They've got lots of cool items all over the store that you're convinced that somehow you need. (Because it is soooo cute, and you could TOTALLY do something with it. Right..?) The store feels cluttered because there is so much stuff everywhere. However, if you're looking for something specific, good luck. It's not even a matter of the product being difficult to find in the store. It's that when you find the right section, there's either nothing in stock, or they simply don't even carry what you need. \n\nI stopped in for crochet supplies, and the yarn selection was laughable compared to many other craft stores. I ended up going elsewhere for my stuff anyway. \n\nPlus the prices at Michael's are significantly more than other area craft stores. I usually only stop there if I'm already at tend Waterfront. I'd recommend checking other craft stores first. Unless you need glitter. Especially fine glitter. Michael's has the best glitter selection/quality of any store I've ever been to.",2
"This is the absolute WORST Steak N Shake I've ever been to. \n\nThe bf and I got lost around Pittsburgh for 40 min. trying to find this location and on top of the unnecessary 1 hour wait for our food, the food itself was just so crappily made. It was so bad and we had waited a ridiculous amount of time (c'mon, Steak N Shake is basically a glorified McD's), our waiter comped our WHOLE MEAL.\n\nIf not for the compensation, I would have been pissed that we had to pay for such a crappy meal. The bf, on the other hand, was more upset about the principle of the matter... we had trekked all that way just to get our Steak N Shake fix (since both of us haven't had it since our undergraduate days) and it was a major fail.\n\nI think I'm good with my Steak N Shake craving for a long time now...\n\n\n\nPS. The whole joint smells like major B.O.",1
"I went here at 3 PM between the lunch rush and the dinner rush, and the restaurant was maybe 20% full. I ordered the Chili Mac Supreme to go. I thought I would be in and out within 5-10 minutes. Keep in mind that this restaurant even has a drive-thru; the expectation is quick service.\n\nLong story short, my food never came... the waitress told me (after I had been sitting there waiting for thirty minutes) that the kitchen hadn't even started on my order yet, so I told her to cancel it and walked out. Now I see that others on Yelp have warned about the slow service at this location. Wish I had looked it up earlier.",1
"Well... as Steak 'n Shake locations go, this isn't the best one around--but it is burgers and fries that are open 24-7.\n\nThe milkshakes are good!\n\nPROS: \nAlways made fresh, when you order;\n\nCONS:\nGreasy (but its burgers);\nTakes longer than typical in drive thru (but that's bc they're made fresh!);\nService (on a scale of 1-10, 10 being awesome) is a 4.",2
"In general I do like Shake N' Steak, but this location is a hit or miss location!  You never know what kind of quality or service you're going to find here.  A friend and myself went a few weeks back after a movie and it had to be one of the worst trips there EVER!  You can't entirely blame the waitress since she was the only one there for the entire place...poor scheduling on the manager's part. However, while she can't be accountable for the slooooow service, she was accountable for both orders being incorrect.  The burgers were over cooked and the fries were soggie and the milkshake was runny at best...\n\nBy far my worst visit to Steak n' Shake!",2
"Rather typical SnS.  Had a good lunch crowd.  Milkshake was good but not as good as EnP down the street.  It took to long to get the burger for some reason, 25 minutes, I realized cooked to order but this is a little long for SnS.  Ordered the Guacamole Steakburger and it only had a small portion of Gauc...not your usual amount..kitchen was not up to speed on portion sizing for some reason.  Definitely did not look like the picture on the website.  Oh well!",2
The only thing worse than the food is the service.,1
"Terrible wait staff  couldn't even seat us. Before we, and another party walked out without even being greeted properly, I observed several employees traipse out the front door, several tables who were waiting for their food for a long time,  several employees just standing around out of direct view of the tables, a morbidly obese hostess that could barely physically walk from one end of the store to the other. I think one server was high. \n  \n  Going there was a  special request by a 7 year old getting over a long-ish illness, so that makes the shabby treatment more enraging.",1
This place is s l o w....like so slow I have got up and left after waiting 30 minutes and not even being acknowledged by a server. The food is okay. Def not worth the wait. Milkshakes are just okay as well. Booooooo.,2
I really like the chili. Burgers are fair and salads are pretty bad. Pretty hard to mess up a side salad. As others have said you never know what kind of service you will get. Store is usually understaffed and cleanliness is fair. The staff is usually disinterested with customers and sometimes outright rude. All in all what you pay is what you get. Cheap and crap service.,2
"The food is good. Unfortunately the service is very hit or miss. The main issue seems to be with the kitchen, the waiters and waitresses are often very apologetic for the long waits and it's pretty obvious that some of them avoid the tables after taking the initial order to avoid hearing complaints.",2
"Food is good, what you'd expect from Steak n Shake. THE SERVICE IS AWFUL. so incredibly awful. expect to take at least an hour for your meal, even when it's slow. I've been going here for years when I want a cheap meal, but the service is so so so awful. Go to McDonalds.",1
"The service was fast but the food was terrible and so was the service. I had a bus to catch so I couldn't wait around waiting for the check so I went to the counter to pay. She never brought my check, never checked to see if my drink needed refilled, she just mopped the floors. \n\nThe burger was really greasy, the fries were Luke warm and the cheese on them wasn't as flavorful as it should be. As a new Pittsburgher I'm not impressed.",1
"I should have known better than to stop here, but I was nursing a hangover and just wanted something quick and simple.  I should kick myself for thinking of this place.\n\nGranted I decided to go to the drive thru and knew there would be a wait.  The sign actually says that the food is prepared when you order it.  I sat for almost ten minutes at the window while my food was prepared.  During that time I wished I could have taken back my order and also wished that I hadn't paid already.  \n\nWhile sitting at the window I decided to just stare inside and watch some of the employees doing their job.  What disturbed me the most was watching the employee making the milkshakes.  Making a milkshake isn't that hard or glamorous of a thing to watch.  What disgusted me was that the guy actually lifted several of the containers for the milkshakes and smelt them.  I mean smelt them to see if they were clean, instead of actually taking the extra minute or two to clean the container.  After witnessing this my food was finally ready and I drove away.\n\nWhen I finally got to eating my food I was underwhelmed.  The fries had no flavor and with the size of the cut it appears you get more than what you ordered.  The \""steakburger\"" really, they should just call it a burger, was overpowered by the BBQ sauce on it.  It was all I could taste.\n\nAll this has cemented me in not wanting to ever step foot in one of these establishments ever again.",1
"You know what you're getting with a Steak N Shake: it's about one rung up from a McD's in quality, and about two rungs down in quickness. At least, you think you know. \n\nI used to have a small place in my heart (though the salt and fat weren't very kind to said organ) for Steak N Shake, because hey, who can argue with beef and drinkable ice cream? But after my last trip, I can think of nothing more disgusting than having to eat here, this location in particular. I haven't been back in over year, and I will never step foot into a Steak N Shake as long as I have an immune system that I care about. \n\nAfter having eaten here, I hit the restroom on my way out (along with my two friends....hey, we're girls, it's acceptable!). One stall was already taken, so two of us are stuck waiting while this occupant does her....shall we say, business? After a few seconds, we realize that she's not only there to relieve herself, but to also take drive-through orders. Yes, that's right....\""You want fries with that? *flush* Okay, that will be $5.50\"". I have never, ever witnessed anything so insane as a drive-through restroom. To top it off, after finishing her \""bathroom break\"", she walks straight out of the stall and into the restaurant. I guess she was in too much of a rush to complete the order she had just taken that she didn't have time to wash her hands. And I was in too much of a rush to choke back up what I had just eaten before it wreaked mayhem on my stomach.",1
"I love Steak N Shake. This one, however, leaves a lot to be desired. The food often comes out cold and the servers are apathetic at best. Most of the time, they're downright rude. I highly recommend avoiding this location if possible. There's one on Route 51 that's worth the 15 minutes it'll take you to get there.",1
"Every time we come here the service is laughably bad. On this visit a tabe which was sat after us had their food before our server graced us with her surly presence. Good restaurant elsewhere, just avoid this location if you want to get your food inside an hour.",1
"Wow. Dirty and slow.  The floors felt like they had the days burger grease spilled all over, and it took 30 m8n to get our take out order.",1
"This place teeters between a 2 and a 3 star review.  I've had pretty good experiences inside, it's usually the drive-thru where things fall a part.  \n\nIt's the rare place I can get a Frisco Melt well, the ONLY place I can get a Frisco Melt!  and that steak burger alone is worth the risk, Walk In OR Drive Thru.\n\nJust take a gun on Weekends, you'll be fine.",2
"This location is terrible. The drive-thru workers are rude and they give you crap food. I waited 5 minutes before being able to order, even when there was only 1 car ahead of me. Then the lady proceeded to ask me if I would like anything on my burger, and (thinking the pictures on the menu are what they're supposed to look like and they would never false advertise) I asked \""doesn't it come with the fixings like in the picture?\"" she then told me it only comes with cheese. So I then went on to tell her what I wanted on my burger. Pulled around and got my order pretty quick, but later when I open my burger its just meat and cheese. The meat is badly burned and cold. It was clear to me this burger was not fresh. I didn't even attempt to eat it, what a waste of a place. They definitely need better workers.",1
"Nice staff but apparently there is little manager oversight around 3:28am.\n\nI do like this place.  It must be nice to work somewhere that allows you to choose your own tasks.  Like smoking, sitting and texting.  I'm fine with cooking my food being fourth on the \""to do\"" list because there is no where else togo really....\n\nWhy didn't they answer me at the drive through? I think they wanted me to come inside because my girlfriend and I are really really really good looking.\n\nThis was annoying but understandable.",2
"It's okay. Food is cheap but portions are small. For example I order the chicken tenders, and I got 3 little tiny tenders, and a decent amount of fries. Also the restaurant is not really clean either.  This restaurant is not my number 1 choice.",2
Another store which has gone the way of the Dodo bird. Actually there was nothing basement like about it. What will be done with the empty space that is the question?,2
"$9.75 for a red bull and vodka? I'm sorry, I thought I was in Pittsburgh, not New York City. Sing Sing, a dueling piano bar, is fun, but it would be a hell of a lot more fun if I could have more than one watered down drink before I warbled my way through \""Paradise City\"" with the rest of the crowd.",2
"In my opinion, Sing Sing is really not worth it. It gets expensive because you drink, maybe start to sing a few lyrics, drink some more, think of a song you wanna hear, put $5 and title of said song on a piece of paper, you drink, they play it, everyone else is trying to get their songs played so you put $10 on your next sticky note...and so on and so forth. I wasn't really into it when I first got there but as the night went on and lager went in I started to warm up to the place. I feel that if I have to drink in order to have a good time, it's not worth it. But again, that's just me.\n\nThe 2 stars are for the piano players, who are entertaining and very talented, and the Rock Bottom brews they serve.",2
"This place has gone significantly down hill.  I've gone to Sing Sing about once a year for the last 6 or 7 years.  When we started going there you couldn't get a seat unless you got there early.  It was always packed.  However, each year the crowd seems to get smaller and smaller.  Crowd is an important component of a piano bar due to the interactive nature of it all.  I was there last Saturday night (8/4/12) and there was about 20-30 people there.  Very slow and boring.  It appears the crowd is no longer allowed up on stage, taking a lot of the interactive fun out of what this place used to be.  This was likely my last time at Sing Sing.  Save your $7 and skip this place.  A real shame because this place was once a lot of fun.",2
"I went here with a bachelorette party. We had reservations, which was good because it was packed that Saturday night. The performers were very talented, but the acoustics were strangely off.   The theme that ran through the whole show was, to quote some phrases they kept repeating, \""you bitch, you slut, you whore\"" and  \""twinkle twinkle little slut, why don't you take it up the butt\"" which one of the pianists wrote on the mirror at the back of the stage... You get the idea?  Perhaps if I had not been the designated driver, alcohol would have made these jokes funny the fifth, sixth, seventh time. Or maybe not.",2
He was incredibly sexist/homophobic. He could barely play the piano and when we finally recognized a song we could actually dance to he literally asked me to get off stage because he didn't like another on stage who could actually dance with the girls.,1
"I usually have nothing but good things to say about this place. I've dealt with Fran and others and have had very good experiences. However, this time was very different. I called to find out how much they might charge to install some brakes and rotors that I had, i was reffered to Mark, the mechanic. I made the appointment with him for Tuesday Sept 30th, he quoted me between $179 - $200 for the work (though the first person I spoke to quoted $150-$179) and told me to bring it at 8am and it would be finished the same day.when I brought it on Tuesday, Septempber 30th at 8 am, Mark forgets that i even made the appointment with him (or didnt bother to make a note of it) saying, \""oh, I thought you were supposed to bring this by yesterday\"". He says I should expect this to probably be done before 3pm. \n\nI soon recieve a call from Mark at 10:25am, where he tells me the charge will actually be $240 (for four hours of labor + $13 worth of materials, before even getting started to see how long the job would actually take) and that the car would be ready by 3pm, if not possibly before that. Also for good measure he decides to randomly throw in, \""oh, and we don't take checks\"". \n\nThe next phone call is at 3:50pm to ask if i actually need to have the car back today, I tell Mark, \""yes, of course\"". (I was expecting to be ready by 3, if not before like he said) When I express that I definitely need it today, he says that he just has to finish this one side and it will be ready by 415. This leaves me with barely enough time to get a bus and get over there before they close at 430. Honestly if what he had to finish on my car could easily be completed between 3:50 and 4:15, i dont think he would bother asking if i still needed to have it that day. As a result I feel that he may have rushed something while putting my car back together, because now something feels slightly off with the feeling of how the cars is aligned or the way the car drifts at times.",2
"When making a Customer's paymento atLowe's, we have our checklist:\n\n1. Do the phone numbers match?  Nope, but that's fine since people are always changing their phone numbers anyways.\n2. Does the name on account match name on check?  Nope, but mistakes happen at those pesky check companies.\n3. Does the account number on the check match the account number on the screen?  Why should it, those computers are always making mistakes.\n\nNow that we have verified that all the information is correct, we can process the payment.  The customer will be so happy that we didn't have to bother them with any silly questions.\n\n******\nI am sad to say that this is an actual occurrence.  What was originally an average Lowe's has turned into Lowe's Hell.  If the associates do not have basic logic comprehension, how do they survive?",1
"Would like to give NO STARS.  bought all new kitchen appliances there.  Refrigerator is defective.  They\nsend an outside company to repair.  Man arrives with NO TOOLS and wrong size seal for freezer.  not once, twice.  The first time, he tries to use my spoon from counter to install it!  I complain, too bad...they have to comeTHREE times before replacing it!  NEVER AGAIN.",1
This place is overrated. A friend and I were looking forward to a beer and some good bar food- instead the wings were terrible and the beer was good but overpriced. There's nothing wrong with this place I just don't understand the clout around it. There should be no clout.,2
"There's lots of potential here because of the wonderful character and ambiance of this place, but the food was average at best.  We were there on a Pens Playoff night and there were 2 people working all the tables in both rooms.  Our food came to us cold and unimpressive at that.  Our orders were somewhat mixed up.  The potato skins used a really cheap artificial cheese that was not very appealing.  I tasted a slice of pizza, which is definitely the best thing they offer.  The crust was delicious and homemade.  If you are going to order something, I would go with the pizza.  We also ordered the chicken wings which were pretty good, also.  If you are looking for good food, Homestead better choices at Blue Dust or Tin Front.",2
"Before today I probably would have given this place three stars based mostly on their beer selection; however, today the service was terrible. We waited two hours for a pizza sub, French onion soup, fries, and buffalo chicken tenders. About an hour and a half in we finally got the small pizza sub and the wrongly made buffalo chicken tenders (ie, no hot sauce). We were told by the waitress that she realized it was wrong, but decided to still bring it out to see if my gf would eat it. She sent it back. By a half hour later, we still had not received the buffalo chicken tenders, nor the French onion soup (which should have been mostly made already), and no fries.  We were told the chef was new, but no effort was made really to make the situation better. No quick and easy app or beers on the house. To boot, the beer was pretty expensive. I will probably give the place another chance based on their beer selection, but it won't be for a while. The food has always been average at best, and the pizza sub was no different. We ended up leaving after two hours without receiving 75% of our order.",1
"I've been to Duke's three times now. When I first came to PGH, a lot of locals were telling me that this was a good place to catch a game, drink some brews and get great food. Most of that is true, but the bad has mostly outweighed the good.\n\nThey have an excellent new tap system. Last time I went, they had Thirsty Dog Leghumpper on draft, and it was perfect. The system really elevates already awesome beer. Plus, the selection is awesome. \n\nIt is a sports-themed bar, so you can expect drunk locals, loud TV's and plenty of yelling. I'm sort of into that, so it doesn't bother me, although I do think their staff is not well equipped enough to work among the chaos. Service is often slow, and they give the waitresses ZERO training in the beers that they offer. This is not a good place for trying something new, as they can't tell you a thing about it. \n\nThe biggest downfall of Duke's, though, is the food. I've had three different, but equally simple, dishes there; A Burger, a Cheesesteak and Chicken Tenders. The first was flavorless and cold. The second was passable, but nothing special. And the last were absolutely awful. Honestly, the batter and size of the chicken made me so ill, I had to call it an early night. I ate two of the 7 tenders (SEVEN!) and had to quit. \nTheir fries are very good. And so are the wings.\n\nI'd say Duke's is a good place to drink, but that's about it.",2
"D&B is nice once in a while but the food is insanely unhealthy. They are also really clever about designing the psychological context in ways to extract money from their customers. You feel a bit milked afterwards. Also much fatter.\n\nYou pay for games using credits from mag-stripe cards. This lets D&B give their games arbitrary prices and makes it harder for you to really know how much you are spending. Menus for drinks and food have no prices. $6.05 for a Banana Split cocktail? $3.40 for a Michelob?  I have no idea whether that is expensive but not showing the prices is clever because they can price their things and not have to obey pricing psychology (like anchors and so forth).\n\nWaitstaff hassle you repeatedly to order desserts. Oh, and the dining room has plastic demos dessert trays to get that thought going in your mind as you walk to your table.\n\nThe games are all violent shooters or racing games don't appear to have changed much since 2002 when I last went to D&B in California. Hope they can find more innovative arcade games in the future.\n\nNot a pleasant experience, but at least it's different from going to an ordinary restaurant.",2
"Dave and Buster's is an enigma, is it dining, a bar, or  playground for video game lovers? Let me get the bar part out of the way first, it's overpriced, and they try to get you to buy a glass to jack up your bill. \n\nNext, the food. Just like all the chain places at the Waterfront, there are sandwiches, burgers (yes they have a blue cheese burger, who doesn't?) pasta, salads, chicken fingers, yadda yadda. \n\nThe games, I swear over three quarters of the games have been there since 2000 when the place opened. I guess in ten years no new games have hit the scene.\n\nOverall Dave and buster's is unique to the Waterfront, but it's time to update the menu, update the games, and get into the second decade of the 21st century.",2
"The food was absolutely gross! I ordered a turkey club which comes on a wheat bun with avocado, bacon, and turkey breast. What I got was TOTALLY different from the picture! First of all the sandwich was on sliced bread (lame)! There was no avocado, 1 slice of bacon, no lettuce, and to TOP it off instead of turkey breast they used freaking LUNCH MEAT! lol No, not the kind that you get from the deli, the other sweaty nasty looking stuff! Gross! \n\nOur waitress was awful but they were extremely understaffed so I would have a bit of an attitude if I had to wait 10 tables without assistance too.   \n\nThe manager was really nice... Of course that disgusting sandwich that I didn't eat was free.",1
"Not much of a review for this one, but just a few tidbits of info...\n\nPool (on Friday/Saturday) is $14 per hour\n(I'm pretty sure its $10 through the week)\n\nMixed drinks are way too pricey for the location.\nThe food is crap.\n\nThe games are fun and the pool tables are nice (they're the big tournament style/size, not the shitty bar-room, tiny pool tables).\n\nThat is all.  :)\n\n(the pricing is based on my recent trip.\nWe shot pool for a few hours, I had a bar tab (that wasn't out of control) and my night ended up costing me $60",2
"When did Dave and Buster's become a daycare?? Everywhere you look, there are signs that say kids must be accompanied by an adult, but apparently no one was honoring that at 6PM on a Saturday. I couldn't even walk through the place without someone shoving me. AHHH!\nI get that Dave and Buster's is an arcade and that you're going there to play some games, maybe eat, and kill some time. When I last went there a few years ago, we there for my bachelor party, and while I'm sure we got into some shenanigans, I don't remember children running wild there. We were having adult beverages, playing games, and having a good time. This time, it was ridiculous. It isn't Chuck E. Cheese, yet that's how parents seem to be treating the place.\nOn top of that, the customer service sucked. The place is gigantic, with tables and serving areas everywhere, yet on a Saturday at 6PM, the hostess told us (after interrupting us three times to chat with the other hostess) told us it would be a three hour wait, despite the fact that there were empty tables all over the dining room. I suspect this is a ploy to get you to play games and spend money until you're table is ready, but the food at Dave and Buster's is not worth a three hour wait on any day.\nThe hostess told us we could be served right away if we went to the midway and found an empty table, so we attempted that. Most of those tables were empty with usually one or two adults at a giant empty table filled with coats who informed us that they needed the table because their kids would be back soon after playing games. Next, i engaged in the most rudest thing I've ever done- I began stalking tables where people were finishing up. I would walk up to people paying their check, ask if I could have their table when they were done, and they would inform me that there were already two or three people who asked them and I should get in line.\nFinally, we found a table and proceeded to spend two hours eating dinner. It wasn't because we ordered a lot of food- it was that the waiter took forever to bring our food out. He seemed to have no problem getting us fresh drinks, until we drank as much as we could and then asked for water. After that, he seemed to come around a lot less. \nI had the build your own chicken tacos, which comes on a giant plate with all kinds of fixings. The fixings were fresh, but the chicken was cold and dry, and the tortillas were dried out as well. For $14, it wasn't worth it. \nAfter dinner we proceeded to play games, which entails shoving people to get through areas and waiting in line to play anything. \nAll in all, I didn't like my experience at Dave and Busters. I remembered it being a fun place to go and unwind as an adult. but between all the kids and the crappy service, can't recommend this place. If anyone asks me to go back, I may elect to stay home and poke my eyes with a fork.",2
Mediocre service. COLD food! Our food waited so long the lettuce & pickles wilted. Bland food. Crazy overpriced. Long waits in the arcade. 1 beer per hour maximum.  Avoid at all costs. Fair manager.,1
"Not being from the area, I traveled an hour to come here from Uniontown, PA. I was excited! I haven't been to this Dave and Buster's since I was younger and was ready to go back and play me some games! I went with my cousins, mind you, we hadn't ate all day and were very hungry. So, we decided to do the Eat & Play Combo, naturally. Here's where it gets bad. First of all, we get a very snobby hostess that shows us to our table. Then, we wait...and wait...and finally after about 25 mins we get a waitress. Her name was Ashley. We had plenty of time to decide what we wanted, so we quickly put our order in. Next, we were sitting and talking, waiting, we had empty glasses and our waitress had never even come around to see if we needed refills except for one time. She said she'd come back right away with our refills...yea, right. 20 mins later we get our refills. Mind you, our food still hasn't came yet. I see other people getting their food that had come in after us. I was frustrated. After waiting 45 mins for our food, I asked to speak with a manager. One of the servers who I asked replied rudely with \""Well, he's really busy right now. I doubt he'll be able to come out and talk to you\"". Finally, 15 mins later...that's one hour, folks. We get our food. What do you think the next problem was? Yep, the food was cold. I was completely fed up at this point, and told my waitress how disappointed I was, especially after driving one hour just to have this terrible service. The manager never came to speak with me, and we didn't even receive our meals for free. The only compensation we got were $10 game cards. Woopty-doo. The only thing good about this place is the games, but the prizes you get for your tickets are all junk and worthless. So, in conclusion...I DO NOT RECOMMEND THE WATERFRONT DAVE AND BUSTERS OF HOMESTEAD, PA. It was horrible, and I will not be returning for a very long time!",2
This place just plain sucks\nBad management lost them biz\nDumb arcade drama*\n\n* they have recently changed their under 21 policy so no one underage can even be in the arcade or restaurant after 10pm despite having a guardian over 30 years old,1
"Visited the Dave and Busters in Homestead, PA last night. Waitress mixed up our credit cards and gave my brothers credit card to someone else and he theirs. Charged them already too - both incorrectly My brother had to walk around and find out who it was. Waitress never apologized. GM was extremely rude and refused to give my brother his original receipt back saying they had thrown it out. DID NOTHING TO REMEDY the situation and ignored us the rest of our visit - not even a refill. After spending over $300 plus games, we will never go back. Whatever happened to the customer is always right? HORRIBLE service",1
"My boyfriend and I are in our 20s, and have visited this D&B multiple times. After our visit yesterday, however, I don't think we'll be back. When we arrived we were greeted by a long line of people waiting to buy game cards. At first there were 2 extremely slow workers trying to do this, then one left while the line was still out the door! The girl that was left was more than incompetent, and was taking extremely long to fill these game cards. We stood in line for over 20 minutes before being told that there was another attendant in the actual game room. Needless to say, the line in the game room was just as long, and they still only had one girl in the booth. It was a Saturday! After we finally got our cards we had to wait yet again to get a beer. 2 bartenders on staff while the bar was completely full. It took us almost an hour before we actually could start gaming. The floors were filthy with trash, and the bathrooms: repulsive! I had to use the restrooms twice during our visit, and not only did both bathrooms I used have no toilet paper in them, but there was TP all over the floors, and the sinks were less than cleanly. My boyfriend mentioned that the guys restroom was no better, as it smelled like pee and the paper towel dispenser didn't work. All I have to say is get your crap together. We could see a difference in the type of crowed that was there on Saturday compared to what it used to be, and I'm I have no doubt it's due to the poor service and attention to cleanliness. For how expensive they are they need to staff better on weekends. It's a shame how quickly this place has gone down hill and we will NOT be returning anytime soon!",2
"Most of the games were out of order and I had to find one of those referee looking people to fix 2 of them that took some of our credits.  Apathetic service staff all around, the Peanut and I were really disappointed.  Won't be back.",1
"Ok! Let me tell you about my bad experience first. I went to D&B last night for a post wedding party - which, side note, is a great idea!\n\nIt was around midnight and the bar wasn't really populated. There were three bartenders and only one was actually making rounds to see if anyone needed anything. The two other bartenders were chatting on the far side of the bar that no one was sitting at. Kind of counter productive if you ask me. \n\nI stood there for about 5 minutes, which for a busy bar is fine but when I am the only one with my card out then, it just seems a little ridiculous. I made eye contact with the one girl twice and gave her a smile and she literally turned away. I finally had to walk to them to get their attention.  I was standing right in front of them smiling and they didn't ask if i need anything. I finally said, \""Are you working?\"" and they gave each other a weird look. I felt like i was the crazy one. I asked for a beer/got the beer.\n\nIn between that time, the other bartender brought food over and set it down. She took a fry from the plate (right in front of me) and then served it to someone on the other side of the bar. What the hell! I felt like i was in some grimy bar in out in the sticks - not an established D&B. \n\nI was just really turned off from that experience. \n\nThe good is that D&B provides a different type of entertainment when you want to mix things up. I remember going here with my grandparents when I was a kid and it was the best treat ever! We would eat at the restaurant and then spend hours playing games. This place holds some really good memories for me. \n\nIt's a shame that my experience last night has spoiled the high standards I held for it.",2
"I used to love D&B when it first opened in the Waterfront, but it has gone down hill over the years. The games are not as fun and do not give you as many tickets and the prizes have gotten cheaper in quality. It takes a whole heck of a lot of tickets for you to even get a pencil! The atmosphere is okay but it used to be so much better with the funnest games and diverse groups of people! Now, it is run down and many of the games are app related games (Fruit Ninja) and 3D Experience rides. With such \""games\"", you can't even earn tickets and they take a lot of tokens! Last time I went, back in the winter, many of the games were broken, which made for a negative player experience. I would go to D&B to play some games again in the future, but it is no longer one of my favorite places to go due to the decline of fun games where you can earn tickets.",2
"I was here on 10/3 and I have to say this was a horrible experience.  Me and a friend went here to eat and play a couple games afterwards.  It took the waitress at least 10-15 minutes to greet us and by that time we knew we should just order then because we might not see her again.  We ordered and got our drinks and well let's just say we didn't see the waitress again until she was giving us our check (some manager delivered the food to the table).  No refill on my beverage, no how is your food, no ketchup for my burger or fries was offered.  Lots of people running around like crazy and if your understaffed hire more people!  I will not be back again to eat.",1
"My sister and law wanted to go here for lunch so all the kids could play games after we all had some lunch together. This place is huge and was moderately clean except the bathrooms. All of the food looked great on the 16 page menu. When our food came though, everything was below average. They have a huge selection of games for the kids to play, but you pay dearly to play games here. The food is  overpriced and the drinks are drastically overpriced.",2
"Horrible beer, horrible service, horrible menu",1
"SUMMARY:\nIf I was in the area and no one had a better suggestion for where to go, I might come back for beer and appetizers.\n\nGOOD:\n- Decent beer...\n- Original pretzel appetizer.  You take chunks of soft pretzel and dunk it in spinach cheese dip.\n- Huge portions.  Most of us had leftovers.  The RB Appetizer Sampler was multi-story and way more food that we could handle.  The half order of ribs looked like a full rack.\n- Attentive service with quick seating and frequent drink/water refills.\n- Amusing name.\n\nBAD:\n- Lots of food choices... burgers... steak... chicken... salads.  Lots of drink choices... beers... wines... mixed drinks.  I guess this could be seen as good, but it takes a while for everyone to pick something and since no one's awesome at everything, you could tell right away that nothing distinguishes this place.\n- None of the food was super awesome.  Nothing was awful, but nothing stood out in any way.  I've had better beer, appetizers, and a better main course at plenty of breweries.\n- Kind of dead on a Monday night with 3/4 of the place empty.\n\nCome if you want bar food, but keep your expectations low.",2
My friends got everyhing from steak(they didn't even get a well done steak right) to mahi tacos and the only great menu item was the seasoned vegetables- give it a miss. Sing sing next door is awesome but get dinner somewere else. After we were done the waiter asked if we were ready for the checks and I had ordered meal that came with a desert! Really dissapointing all around.,1
"Lately, the Rock Bottom is hit or miss. The beers are always good and the Uppity Jagoff IPA is one of the best India Pale Ales I've ever tasted. The low point lately has been the food. I will never forgive the idiot in management who took the chicken quesadilla off the menu. That said, I ordered the lobster roll and when it arrived, the bread was as hard as a brick and cold. The filling was okay, but the lobster flavor was masked by over spicing. I suggest you eat somewhere else and imbibe at the Rock Bottom.",2
"I always feel like I am constantly bashing breweries for their food, but in my opinion, I feel the bar is raised for places like this. It seems there are so many breweries out there that offer great beer, and slack off on the food. Unfortunately Rock Bottom is one that falls into that category. Let's be honest, when you go to a brewery, you want the full experience. If it was only about the beer, I'd go buy a growler and take it home. \n\nSo, about the beer....EXCELLENT!!!!! The Jagoff IPA is with out a doubt one of the best IPAs I have ever had! They only I can think of that I think is better is Dogfish Head, but that's a matter of opinion. The beer selection is constantly changing, and they always have some excellent seasonal beers. You can't go wrong, there's bound to be a beer everyone will like. \n\nAs for the food.......it's pretty much a crap shoot. Sometimes it's good, sometimes it's terrible. My biggest problem is there is absolutely no consistency when it comes to the food. One time it's perfect, then maybe it's cold, or it's burned, or it tastes completely different from the last time you had it. Unfortunately, it seems there is zero attention to food quality. \n\nThat's pretty much it. This place fixes it's food consistency, and it's a five star place. Till then, it's hit or miss!",2
"I must admit, I do like the brews.  I also like the white cheddar mash potatoes.  Other than that, meh.  The food is pretty forgettable.  Another \""brewery\"" that sadly fails to be anything special in the food department.  With the restaurants upping the ante on 8th Ave, you may want to kick it up a notch Rock Bottom.  But how would anyone know to?  It's a chain.  Whomp whomp!",2
For a brewery who is attempting to take advantage of Oktoberfest you wonder how at 7 pm they could be out of mashed potatoes & sauerkraut then a sausage platter with sweet mustard guess they have not been to Germany. Not worth $5.95 unfortunately the sausage platter was $15.95.,1
"I went to Rock Bottom this past weekend, and it was \""nice\"" to see that nothing has changed in the year or two since my last visit. While the beer is pretty good, it has never outweighed the fact that the service isn't good and the food is average, at best.\n\nIt was even difficult to get beers at the bar...we tried to have the girls order, thinking they'd have better luck...when that failed, the men tried...that didn't work either. If we hadn't REALLY wanted a cold beer after a comedy show at The Improv, we would've just left. It definitely wasn't busy enough to be noticed and ignored by the bartender, so I can't overlook it. Of course, the service has always been spotty at Rock Bottom, so it was hardly surprising.\n\nCombine the weak food and poor service with Rock Bottom being too far from home for a night out just to drink, and you get the exact formula that's kept me from going there in the past...and will keep me from going often in the future.",2
Slow service\nBelow average food \nIll pass,2
